ALL OF THE COURSES IN THE SYSTEM
CourseCode_01;150
CourseCode_02;150
CourseCode_03;150
CourseCode_04;90
CourseCode_05;90
CourseCode_06;150
CourseCode_07;60
CourseCode_08;150
CourseCode_09;150
CourseCode_10;150
CourseCode_11;60
CourseCode_12;180
CourseCode_13;120
CourseCode_14;90
CourseCode_15;90
CourseCode_16;150
CourseCode_17;180
CourseCode_18;180
CourseCode_19;90
CourseCode_20;150
CourseCode_21;120
CourseCode_22;150
CourseCode_23;90
CourseCode_24;150
CourseCode_25;150
CourseCode_26;60
CourseCode_27;180
CourseCode_28;90
CourseCode_29;120
CourseCode_30;150
CourseCode_31;150
CourseCode_32;150
CourseCode_33;120
CourseCode_34;60
CourseCode_35;90
CourseCode_36;60
CourseCode_37;60
CourseCode_38;150
CourseCode_39;120
CourseCode_40;60
CourseCode_41;90
CourseCode_42;90
CourseCode_43;90
CourseCode_44;60
CourseCode_45;120
CourseCode_46;90
CourseCode_47;90
CourseCode_48;90
CourseCode_49;150
CourseCode_50;90
CourseCode_51;120
CourseCode_52;120
CourseCode_53;90
CourseCode_54;120
CourseCode_55;120
CourseCode_56;120
CourseCode_57;150
CourseCode_58;90
CourseCode_59;120
CourseCode_60;60
