ALL OF THE COURSES IN THE SYSTEM
CourseCode_01;180
CourseCode_02;90
CourseCode_03;180
CourseCode_04;120
CourseCode_05;150
CourseCode_06;60
CourseCode_07;180
CourseCode_08;90
CourseCode_09;180
CourseCode_10;90
CourseCode_11;120
CourseCode_12;150
CourseCode_13;90
CourseCode_14;120
CourseCode_15;150
CourseCode_16;60
CourseCode_17;120
CourseCode_18;90
CourseCode_19;90
CourseCode_20;60
CourseCode_21;150
CourseCode_22;180
CourseCode_23;120
CourseCode_24;90
CourseCode_25;150
CourseCode_26;120
CourseCode_27;90
CourseCode_28;150
CourseCode_29;150
CourseCode_30;90
CourseCode_31;60
CourseCode_32;150
CourseCode_33;150
CourseCode_34;120
CourseCode_35;90
CourseCode_36;60
CourseCode_37;180
CourseCode_38;120
CourseCode_39;120
CourseCode_40;150
